Text,Category
Cricket is a popular sport,Sports
Football is played worldwide,Sports
Virat Kohli scored a century,Sports
The team won the championship,Sports
Tennis is an exciting game,Sports
The player hit a six,Sports
The coach announced the squad,Sports
The match ended in a draw,Sports
Basketball players practice daily,Sports
The stadium was full of fans,Sports
India won the cricket match,Sports
The batsman played brilliantly,Sports
The bowler took five wickets,Sports
The referee blew the whistle,Sports
The athlete won a gold medal,Sports
The football team scored two goals,Sports
The tournament starts tomorrow,Sports
Hockey is India's national game,Sports
The captain motivated the team,Sports
The crowd cheered loudly,Sports
Artificial Intelligence is growing,Technology
Python is a programming language,Technology
Machine learning uses data,Technology
Cloud computing is popular,Technology
Cybersecurity protects systems,Technology
Data science analyzes information,Technology
Robots can automate tasks,Technology
Software developers write code,Technology
The computer processed the data,Technology
Programming improves problem solving,Technology
The app was updated today,Technology
The website loads quickly,Technology
Databases store information,Technology
The laptop has a fast processor,Technology
The algorithm improved accuracy,Technology
Technology changes rapidly,Technology
The server handled many requests,Technology
Coding requires logical thinking,Technology
AI powers smart assistants,Technology
The network connection is stable,Technology
Stock market increased today,Business
Banks announced new interest rates,Business
The company earned a profit,Business
Sales increased this month,Business
Customers purchased more products,Business
The business expanded internationally,Business
Marketing improved brand awareness,Business
The manager approved the budget,Business
The startup attracted investors,Business
The market demand is high,Business
The shop opened a new branch,Business
The company hired new employees,Business
The economy is growing steadily,Business
The CEO announced a new strategy,Business
The product generated revenue,Business
The finance team prepared the report,Business
Investors bought company shares,Business
The bank approved the loan,Business
The business reduced expenses,Business
The retailer offered discounts,Business
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
